               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.034162,             0.02241,            0.006613,             0.96653,             0.97237,             0.96458,             0.57829,            0.042953,            0.015437,           0.0073243,            0.002146,            0.002146,            0.002146
                 121,            0.034943,            0.021405,           0.0065857,             0.96434,             0.97237,             0.96662,             0.57608,            0.043162,            0.015555,            0.007452,             0.00208,             0.00208,             0.00208
                 122,            0.034549,            0.020139,           0.0065978,             0.96806,             0.97237,             0.96644,             0.57416,            0.043066,            0.015448,           0.0074166,            0.002014,            0.002014,            0.002014
                 123,             0.03442,            0.020995,           0.0068056,             0.96551,             0.97084,             0.96437,             0.58006,            0.042897,            0.015398,           0.0074026,            0.001948,            0.001948,            0.001948
                 124,             0.03531,            0.020924,           0.0067304,             0.96625,             0.97169,             0.96332,              0.5777,             0.04272,            0.015298,           0.0073564,            0.001882,            0.001882,            0.001882
                 125,            0.034649,            0.020553,           0.0066434,             0.96398,             0.97123,             0.96639,             0.57464,            0.043046,            0.015315,           0.0074271,            0.001816,            0.001816,            0.001816
                 126,            0.034399,            0.021261,           0.0065756,              0.9604,             0.97156,             0.96637,             0.57722,            0.043122,            0.015392,           0.0075348,             0.00175,             0.00175,             0.00175
                 127,            0.034798,            0.020656,           0.0066369,             0.95943,             0.96957,              0.9619,             0.57611,            0.043009,            0.015421,           0.0075445,            0.001684,            0.001684,            0.001684
                 128,            0.035005,            0.021047,           0.0068574,             0.95842,             0.96691,             0.96061,             0.56988,            0.042953,            0.015525,           0.0074833,            0.001618,            0.001618,            0.001618
                 129,            0.034298,            0.021001,           0.0063916,             0.96597,             0.96435,             0.96258,             0.57103,            0.042994,            0.015588,           0.0074696,            0.001552,            0.001552,            0.001552
                 130,            0.034324,            0.020545,            0.006404,             0.96814,              0.9646,             0.96615,             0.57488,            0.042811,            0.015517,           0.0073896,            0.001486,            0.001486,            0.001486
                 131,            0.034191,             0.02145,             0.00676,             0.97116,             0.95796,             0.96528,             0.57738,            0.042564,            0.015464,           0.0073505,             0.00142,             0.00142,             0.00142
                 132,            0.034043,            0.020457,           0.0064584,             0.97153,               0.957,             0.96555,             0.57125,            0.042739,            0.015477,           0.0074022,            0.001354,            0.001354,            0.001354
                 133,            0.034523,            0.019654,           0.0066537,             0.97245,             0.95941,             0.96776,             0.57779,            0.042937,            0.015522,           0.0073883,            0.001288,            0.001288,            0.001288
                 134,            0.033884,            0.020396,           0.0066152,             0.96924,               0.957,             0.96508,             0.57473,            0.043174,            0.015471,           0.0073875,            0.001222,            0.001222,            0.001222
                 135,             0.03374,            0.020872,           0.0065393,             0.96549,             0.96442,             0.96416,             0.58243,            0.042949,            0.015535,           0.0074914,            0.001156,            0.001156,            0.001156
                 136,            0.034262,            0.021209,           0.0067962,             0.96537,             0.96777,             0.96578,             0.57931,            0.043053,             0.01552,           0.0074577,             0.00109,             0.00109,             0.00109
                 137,            0.033485,            0.021615,            0.006499,             0.96636,             0.96469,              0.9652,             0.57826,            0.042942,            0.015436,           0.0074478,            0.001024,            0.001024,            0.001024
                 138,            0.033931,            0.020933,           0.0066404,             0.96814,             0.96384,             0.96762,             0.57886,            0.042742,             0.01549,           0.0073773,            0.000958,            0.000958,            0.000958
                 139,            0.033925,            0.020468,           0.0063944,             0.96515,             0.96515,             0.96586,             0.57818,            0.042782,            0.015514,           0.0073696,            0.000892,            0.000892,            0.000892
                 140,             0.03452,            0.019592,           0.0068051,             0.96683,             0.96399,              0.9672,             0.57916,            0.042919,            0.015566,           0.0074715,            0.000826,            0.000826,            0.000826
                 141,            0.033679,            0.020965,           0.0065896,             0.96634,             0.96267,             0.96604,             0.57793,            0.043178,            0.015611,           0.0075637,             0.00076,             0.00076,             0.00076
                 142,             0.03334,            0.019757,           0.0065053,             0.96758,             0.96469,             0.96818,             0.57969,            0.042775,            0.015607,           0.0075827,            0.000694,            0.000694,            0.000694
                 143,            0.033891,            0.021915,           0.0067949,             0.96553,             0.96315,             0.96516,             0.57989,            0.042721,            0.015561,           0.0075165,            0.000628,            0.000628,            0.000628
                 144,            0.033657,            0.021564,           0.0065825,             0.96988,             0.96642,             0.96749,              0.5788,            0.042688,            0.015614,           0.0075712,            0.000562,            0.000562,            0.000562
                 145,            0.033838,            0.021245,           0.0064701,              0.9674,             0.96315,             0.96507,              0.5779,            0.042811,            0.015583,            0.007558,            0.000496,            0.000496,            0.000496
                 146,            0.033354,            0.019859,           0.0064353,             0.96767,             0.96315,             0.96479,             0.57714,            0.042766,            0.015555,           0.0075502,             0.00043,             0.00043,             0.00043
                 147,            0.033744,            0.020446,           0.0066754,             0.96709,             0.96315,             0.96479,             0.57668,            0.042728,            0.015561,           0.0075448,            0.000364,            0.000364,            0.000364
                 148,            0.034181,            0.020359,           0.0065274,             0.96953,             0.96758,             0.96477,             0.57746,            0.042717,             0.01557,           0.0075392,            0.000298,            0.000298,            0.000298
                 149,            0.033032,            0.020317,            0.006494,             0.96965,             0.96705,             0.96495,             0.57766,            0.042815,            0.015618,           0.0075747,            0.000232,            0.000232,            0.000232
